題號,分類狀態,待審,原答案,採計答案,釋疑,本地原卷PDF頁,官方混科卷生物PDF頁,原卷印刷頁,答案PDF頁,釋疑PDF頁,原圖,原圖SHA256,主條目ID,主分類,次條目ID,次分類,主分類理由,次分類理由,科學說明,課本印刷頁,課本PDF頁,覆核者,覆核紀錄
ISU-114-Q11,FORMAL,False,A,A,同年度釋疑維持原答案A,27,27,2,1,8,questions/Q11.png,c3b264abc973dd8b98ef5f5f55e5e186ad6c6eed85e0dbbb3f864f28fac33160,L2501,38.1 / Fruit Structure and Function,,,38.1 / Fruit Structure and Function：比較果實發育來源、聚合果、多花果與附屬果。,無另列最小次條目；A對正常受精途徑成立，題與釋疑已核；不刪除無受精發育的例外。其他果實選项互換定義，果實結構功能足以分類。,採A且維持。正常受精引發激素變化促果實發育；聚合果來自一花多心皮，多花果來自花序，附屬果包含子房以外組織。單為結果例外及题本「合生果(accessory fruits)」用語保留。,"830,831,832","879,880,881",Codex /root,ISU-114-R2-Q11
ISU-114-Q12,FORMAL,False,B,B,未列於本輪取得114生物釋疑PDF8下方至13；依同年度答案PDF1最下方生物表採計,27,27,2,1,,questions/Q12.png,0462dea71d14ed57badb181aca9b30d9583744f1bd933cea13c01d6adebc7bb5,L2924,"43.4 / Exaggerated, Self-Directed, and Diminished Immune Responses",L3212,48.3 / Conduction of Action Potentials,"43.4 / Exaggerated, Self-Directed, and Diminished Immune Responses：題幹明示自體免疫疾病，直接考免疫反應誤傷自身組織。",48.3 / Conduction of Action Potentials：髓鞘及跳躍傳導說明被攻擊結構的功能，不另把疾病章當主分類,採B。多發性硬化主要涉及中樞髓鞘損傷；脊髓可受影響但不是本題所問的最直接結構層級。,"970,971,1075,1076","1019,1020,1124,1125",Codex /root,ISU-114-R2-Q12
ISU-114-Q13,FORMAL,False,C,C,未列於本輪取得114生物釋疑PDF8下方至13；依同年度答案PDF1最下方生物表採計,27,27,2,1,,questions/Q13.png,5ddbd6fc8c2b701186204f1da751a822d481f9dd337d9ed4d73334e292b2248f,L1709,27.1 / Cell-Surface Structures,,,27.1 / Cell-Surface Structures：革蘭氏染色差異由細胞壁與外膜結構解釋。,無另列最小次條目；細胞表面構造才直接決定Gram差異，CDC核實P.aeruginosa陰性；不將細菌屬名視為教材已列證據。,採C。綠膿桿菌為革蘭氏陰性；本地Campbell支援染色機制，具名物種以CDC指引核對，不能僅憑菌名猜測。,"574,575,587","623,624,636",Codex /root,ISU-114-R2-Q13
ISU-114-Q14,FORMAL,False,A,A,未列於本輪取得114生物釋疑PDF8下方至13；依同年度答案PDF1最下方生物表採計,27,27,2,1,,questions/Q14.png,d85ad864b11757aa4ae526046a8af83d416557b36dfaae783521465d958b0909,L1019,16.2 / Replicating the Ends of DNA Molecules,,,16.2 / Replicating the Ends of DNA Molecules：端粒酶解決線性染色體末端複製問題是直接考點。,無另列最小次條目；比較328–330的酶、端粒与體細胞敘述，A支持；原題D保留5′方向，互補不代表5′-AATCCC-3′即標準端粒序列，主末端複製穩定。,採A。多數分化體細胞端粒酶低，酶含RNA模板與蛋白，維持而非加速縮短端粒；人類常用重複序列寫5′-TTAGGG-3′，題本5′-AATCCC-3′方向不可與互補鏈3′-AATCCC-5′混同。,"328,329,330","377,378,379",Codex /root,ISU-114-R2-Q14
ISU-114-Q15,FORMAL,False,C,C,未列於本輪取得114生物釋疑PDF8下方至13；依同年度答案PDF1最下方生物表採計,27,27,2,1,,questions/Q15.png,51a60778024c98e817d921244d082ae8f04b9b14f9d0650ce682de681af96a80,L3231,48.4 / Neurotransmitters,L2733,41.4 / Mutualistic Adaptations,48.4 / Neurotransmitters：四選項中GABA作為神經傳遞介質最直接回答題目。,41.4 / Mutualistic Adaptations：腸道微生物與宿主互利關係交代訊號來源情境,採C。GABA為中樞主要抑制性傳遞物。腸菌小鼠研究支持迷走神經相關GABA受體調節，不能推出所有腸菌GABA直接入腦或人體治療有效。,"912,913,1080,1081","961,962,1129,1130",Codex /root,ISU-114-R2-Q15
ISU-114-Q16,FORMAL,False,B,B,未列於本輪取得114生物釋疑PDF8下方至13；依同年度答案PDF1最下方生物表採計,27,27,2,1,,questions/Q16.png,f37acbb2b536e7dd05e0aec4e0e6a963d0c71b1e8659faf21bd89e8bb4506c73,L2649,40.3 / Balancing Heat Loss and Gain,L0585,9.4 / Chemiosmosis: The Energy-Coupling Mechanism,40.3 / Balancing Heat Loss and Gain：問題目標為棕色脂肪的產熱與體溫平衡。,9.4 / Chemiosmosis: The Energy-Coupling Mechanism：UCP1使質子梯度能量轉為熱而少耦聯ATP合成，需保留化學滲透原理,採B。棕脂多粒線體，去偶合蛋白促非顫抖產熱；脂肪儲存、分泌胰島素與肝醣體皆非此機制。,"175,176,177,178,886,887","224,225,226,227,935,936",Codex /root,ISU-114-R2-Q16
ISU-114-Q17,FORMAL,False,C,C,未列於本輪取得114生物釋疑PDF8下方至13；依同年度答案PDF1最下方生物表採計,27,27,2,1,,questions/Q17.png,6271aa240f34314b4b8babbedd33646a9d53d0dc824dc29298f71d17524a42ef,L1129,18.2 / Mechanisms of Post-transcriptional Regulation,,,18.2 / Mechanisms of Post-transcriptional Regulation：泛素標記及蛋白酶體降解在轉錄後調控條目下的蛋白質加工降解段落，未虛構目錄子目。,無另列最小次條目；題問標記送往proteasome的分子而非發現錯誤的場所，C為泛素；正文Protein Processing and Degradation在轉錄後機制下，未造新TOC項。,採C。泛素是標記，蛋白酶體執行蛋白水解；內質網可參與品質控制，但不是四選项中的標記分子。,"377,378,379","426,427,428",Codex /root,ISU-114-R2-Q17
ISU-114-Q18,FORMAL,False,A,A,未列於本輪取得114生物釋疑PDF8下方至13；依同年度答案PDF1最下方生物表採計,27,27,2,1,,questions/Q18.png,f8c8f0fae62db2d319eb8d0204b234f836d791c4cf87ec0a94265543be062536,L1919,30.1 / The Evolutionary Advantage of Seeds,,,30.1 / The Evolutionary Advantage of Seeds：直接比較種子相對孢子的演化優勢。,無另列最小次條目；風散播孢子也能，因此相對優勢在胚養分保護；種子演化優勢條目直接答題，無須另加動物取食。,採A。種子內有胚即幼小孢子體，並供養分保護；風散播不為種子獨有，授粉與供動物食用非題問的核心胚營養優勢。,"638,639,640","687,688,689",Codex /root,ISU-114-R2-Q18
ISU-114-Q19,FORMAL,False,C,C,未列於本輪取得114生物釋疑PDF8下方至13；依同年度答案PDF1最下方生物表採計,27,27,2,1,,questions/Q19.png,c43439c3146cca1e843da332cfcf2aa25c99331c1deb210e033b2cd4a298acd6,L2576,39.3 / Photoperiodism and Responses to Seasons,L2567,39.3 / Phytochrome Photoreceptors,39.3 / Photoperiodism and Responses to Seasons：光週期以夜長控制開花，夜間紅光打斷長夜是判斷核心。,39.3 / Phytochrome Photoreceptors：紅／遠紅光的可逆感光素轉換解釋夜間光脈衝效果,採C。對題設長日照植物，夜中紅光可縮短生理上連續暗期而促開花；远紅光可逆轉先前紅光效應，非所有植物不分時序皆同樣。,"856,857,859,860,861","905,906,908,909,910",Codex /root,ISU-114-R2-Q19
ISU-114-Q20,FORMAL,False,D,D,同年度釋疑維持原答案D,28,28,3,1,9,questions/Q20.png,b3a235449dfaade81384580cc3ec58bff4f7b0511e916f4e8f0e67c471caa667,L1059,17.3 / Alteration of mRNA Ends,L1062,17.3 / Split Genes and RNA Splicing,17.3 / Alteration of mRNA Ends：5′帽的保護、輸出及轉譯功能屬mRNA末端修飾。,17.3 / Split Genes and RNA Splicing：D涉及剪接位點辨識，需保留RNA剪接條目以區分功能,官方採D且維持。帽結合複合體可促進第一內含子剪接，並不等於帽本身提供內含子剪接辨識序列；不能解釋成5′cap與剪接完全無關。,"345,346,347","394,395,396",Codex /root,ISU-114-R2-Q20
ISU-114-Q21,FORMAL,False,C,B/C,同年度釋疑改為B/C皆可；組合包PDF32更正表一致,28,28,3,1,9,questions/Q21.png,8a86dca70bdf8631aaeeb07ae0ef09ad1f17a95620f672369bda6bf061a58102,L2914,43.3 / Antibodies as Tools,L0721,11.3 / Protein Phosphorylation and Dephosphorylation,43.3 / Antibodies as Tools：以特異抗體辨識蛋白狀態，主歸抗體作為工具。,11.3 / Protein Phosphorylation and Dephosphorylation：磷酸化為蛋白訊號調控狀態，補充被檢測對象的意義,原答案C，官方釋疑改B/C皆可；組合包32頁亦為BC。磷酸化特異抗體可用於Western blot或ELISA，須有合適抗體與對照；DNA微陣列與PCR不直接量蛋白磷酸化。,"222,223,969","271,272,1018",Codex /root,ISU-114-R2-Q21
ISU-114-Q22,FORMAL,False,C,C,未列於本輪取得114生物釋疑PDF8下方至13；依同年度答案PDF1最下方生物表採計,28,28,3,1,,questions/Q22.png,6ff88f0315b1cbddd6cb52720e310ede75e8f930c38a2b564bad89bd89646715,L0575,9.3 / The Citric Acid Cycle,L0572,9.3 / Oxidation of Pyruvate to Acetyl CoA,9.3 / The Citric Acid Cycle：主要CO2釋放位於檸檬酸循環的脫羧步驟。,9.3 / Oxidation of Pyruvate to Acetyl CoA：與丙酮酸氧化的CO2產量比較才能判斷「大部分」,採C。每葡萄糖完全氧化的化學計量：丙酮酸氧化2CO2、兩輪循環共4CO2，糖解及ETC不直接產CO2；不宣稱新進乙醯碳在第一輪就全部排出。,"171,172,173,174","220,221,222,223",Codex /root,ISU-114-R2-Q22
ISU-114-Q23,FORMAL,False,C,C,未列於本輪取得114生物釋疑PDF8下方至13；依同年度答案PDF1最下方生物表採計,28,28,3,1,,questions/Q23.png,82424912d9075a87a59694163b720bb35607044f137838776fac358d25f7e18c,L2889,43.2 / B Cell and T Cell Development,,,43.2 / B Cell and T Cell Development：T細胞成熟過程的自體耐受與選擇屬B/T細胞發育。,無另列最小次條目；961自體耐受段指出自體反應细胞凋亡／失活，支持C；分類在淋巴球發育，非既成疾病的異常反應条目。,採C。負選擇去除強自體反應性克隆以降低自體免疫；正選擇於胸腺保留能適度辨識自身MHC者。CD8通常成細胞毒性T細胞而非CD4輔助型。,"960,961,962","1009,1010,1011",Codex /root,ISU-114-R2-Q23
ISU-114-Q24,FORMAL,False,C,C,未列於本輪取得114生物釋疑PDF8下方至13；依同年度答案PDF1最下方生物表採計,28,28,3,1,,questions/Q24.png,f41a85d9cb49a40879034633958a2f921274e5561072f3cef7be79e49ea02e07,L2899,43.3 / B Cells and Antibodies: A Response to Extracellular Pathogens,L2889,43.2 / B Cell and T Cell Development,43.3 / B Cells and Antibodies: A Response to Extracellular Pathogens：題問成熟B細胞抗體類型與效應改變，主歸B細胞和抗體反應。,43.2 / B Cell and T Cell Development：與最初抗原受體多樣性的基因重排作比較，保留發育條目,採C。IgM轉IgA為重鏈恆定區DNA類型轉換重組，維持VDJ特異性；IgM與IgD共表現的選擇性RNA處理不是這種轉換。Campbell966支援恆定區差異，具體機制由Alberts補足。,"961,964,965,966","1010,1013,1014,1015",Codex /root,ISU-114-R2-Q24
ISU-114-Q25,FORMAL,False,C,C,未列於本輪取得114生物釋疑PDF8下方至13；依同年度答案PDF1最下方生物表採計,28,28,3,1,,questions/Q25.png,85293c3407ca65f99494d66575963a27ee07566561522f0c5754f062b5aa03bc,L3623,54.2 / Bottom-Up and Top-Down Controls,L3620,54.2 / Species with a Large Impact,54.2 / Bottom-Up and Top-Down Controls：捕食者移除向下改變草食動物與植被，是由上而下的營養級連鎖。,54.2 / Species with a Large Impact：高影響捕食者與關鍵種解釋群落效應來源，但不額外斷定題未提供的數量比例,採C。捕食壓力下降使植食者增長並壓低植被；不是原生演替或穩定性上升。中文選项「漸進演替(primary succession)」原样保留。,"1225,1226,1227","1274,1275,1276",Codex /root,ISU-114-R2-Q25
ISU-114-Q26,FORMAL,False,B,B,同年度釋疑維持原答案B,28,28,3,1,10,questions/Q26.png,230bf09bf9f358f7b9866941145b35ca795df24ffc8b5722a1b7e6b8b137b12c,L1307,21.2 / Understanding Genes and Gene Expression at the Systems Level,,,21.2 / Understanding Genes and Gene Expression at the Systems Level：蛋白質體的全局鑑定與表現分析屬系統層次理解基因產物。,無另列最小次條目；問題是蛋白體工具辨識，NCI質譜技術及官方維持B直接支援；以系統層次蛋白體分析分類，不改成免疫治療。,採B且維持。質譜為蛋白體鑑定、定量及修飾分析核心工具，層析可配合分離；癌症藥物只是用途情境，不主歸腫瘤免疫。,"446,447","495,496",Codex /root,ISU-114-R2-Q26
ISU-114-Q27,FORMAL,False,C,C,未列於本輪取得114生物釋疑PDF8下方至13；依同年度答案PDF1最下方生物表採計,28,28,3,1,,questions/Q27.png,498448e29904c1c291b9d94af8ac32eed45b36d97a4d2d189c90c387a9fc7680,L2930,43.4 / Cancer and Immunity,L1274,20.4 / Medical Applications,43.4 / Cancer and Immunity：主題是工程化免疫細胞辨识及攻擊癌細胞。,20.4 / Medical Applications：導入嵌合受體的醫學基因工程應用為必要次面向,採C。CAR-T主要使T細胞表達嵌合抗原受體，具有抗原辨識及胞內訊號域，不能狹義化為只修改天然TCR一小段。,"433,434,974","482,483,1023",Codex /root,ISU-114-R2-Q27
ISU-114-Q28,FORMAL,False,B,B/D,同年度釋疑改為B/D皆可；組合包PDF32更正表一致,28,28,3,1,10,questions/Q28.png,dca49e531f88f47d8bce5568d1b161687e876c3c7b2d69818339b9d09d8b1fca,L1062,17.3 / Split Genes and RNA Splicing,L1069,17.4 / Molecular Components of Translation,17.3 / Split Genes and RNA Splicing：核酶與剪接體RNA催化在此最小目錄下直接解釋snRNA採計更正。,17.4 / Molecular Components of Translation：rRNA在核糖體催化肽鍵形成，補足另一正式採計答案,原B，官方更正B/D皆可，組合包32頁為BD。rRNA與部分剪接體snRNA具催化角色，非所有snRNA都催化。題文「核糖核酸酶(ribozyme)」中文不精確，核酶不等於專門水解RNA的ribonuclease，原字不改。,"345,346,347,348,349,350","394,395,396,397,398,399",Codex /root,ISU-114-R2-Q28
ISU-114-Q29,FORMAL,False,C,C,同年度釋疑維持原答案C,28,28,3,1,11,questions/Q29.png,b96ce470e02b242a6d7569d8d545fa9df2dc036a55ec519ca62da604ccd27912,L1969,31.1 / Body Structure,,,31.1 / Body Structure：真菌細胞壁幾丁質與菌體構造為直接考點。,無另列最小次條目；656支持結構性幾丁質；釋疑亦談葡聚糖，官方C不代表 universal mass fraction。保持菌體構造主目及定量保留意見，分類疑義已解。,採C且維持。幾丁質是重要支持成分，但不同真菌細胞壁也有大量β葡聚糖等，不能將「主要」當成一律質量最高。官方引書版本與本地12e不同，分開保存不換頁碼。,"655,656","704,705",Codex /root,ISU-114-R2-Q29
ISU-114-Q30,FORMAL,False,B,B,未列於本輪取得114生物釋疑PDF8下方至13；依同年度答案PDF1最下方生物表採計,29,29,4,1,,questions/Q30.png,92e6f52bfd877b57518d1dcb185793c90f4a74cf3d79be920950a6335327a86d,L3036,45.3 / Parathyroid Hormone and Vitamin D: Control of Blood Calcium,,,45.3 / Parathyroid Hormone and Vitamin D: Control of Blood Calcium：PTH與維生素D共同調控血鈣，並需區分血磷方向。,無另列最小次條目；CSU腎排磷效應釐清通常淨降磷，故B不正確；主PTH維生素D血鈣目錄，磷補證已列，未虛稱Campbell頁完整講磷。,採B為不正確。正常腎功能下PTH增鈣且促排磷，淨效應降低血磷；維生素D促腸道吸收鈣磷。Campbell主述鈣，磷方向由CSU作者教材補足。,"1011,1012","1060,1061",Codex /root,ISU-114-R2-Q30
ISU-114-Q31,FORMAL,False,D,D,未列於本輪取得114生物釋疑PDF8下方至13；依同年度答案PDF1最下方生物表採計,29,29,4,1,,questions/Q31.png,00a3702aa062259c3c2b4fe78845a237e087ff634c557584affec6ae5404c630,L3196,48.2 / Modeling the Resting Potential,L3193,48.2 / Formation of the Resting Potential,48.2 / Modeling the Resting Potential：利用各離子平衡／反轉電位比較靜止膜電位的模型。,48.2 / Formation of the Resting Potential：靜止膜電位由離子梯度、通透性與泵維持的形成機制提供前提,採D。四選项没有K，Cl反轉電位在典型成熟神經元模型較接近靜止值；不能據此說Cl對靜止電位的貢獻最大，也不能忽略細胞年齡與Cl梯度差異。,"1070,1071,1072,1078","1119,1120,1121,1127",Codex /root,ISU-114-R2-Q31
ISU-114-Q32,FORMAL,False,B,B,未列於本輪取得114生物釋疑PDF8下方至13；依同年度答案PDF1最下方生物表採計,29,29,4,1,,questions/Q32.png,eaf4ee99f8261a40e8454a8ee2e13c0413a6cad87674d892e22604bba99c76db,L3242,49.1 / Organization of the Vertebrate Nervous System,L3186,48.1 / Introduction to Information Processing,49.1 / Organization of the Vertebrate Nervous System：H反射的脊髓迴路屬脊椎神經系統組織及反射。,48.1 / Introduction to Information Processing：感覺輸入與運動輸出的區分解釋H與M產生路徑,採B。M為直接刺激運動軸突引發的肌肉複合反應，早於經Ia傳入及脊髓反射的H；M波不是從神經軸突本身量到的肌電波，高強度M增大且H可因逆行碰撞降低。,"1068,1069,1087,1088","1117,1118,1136,1137",Codex /root,ISU-114-R2-Q32
ISU-114-Q33,FORMAL,False,D,D,同年度釋疑維持原答案D,29,29,4,1,12,questions/Q33.png,edf82d7a2d2044de289268ed1969d99b8b77e7738ffb5b34daf9e23e929bae72,L3384,50.5 / Other Types of Muscle,,,50.5 / Other Types of Muscle：平滑肌的階梯反應、latch與肌球蛋白磷酸化是直接肌肉類型特性。,無另列最小次條目；官方對比收縮MLCK與鬆弛MLCP已保存，Hai模型明示去磷酸化latch維持張力；分類無疑但官方「不重要」式概括不可科學化，已註廣義歧義。,官方採D且維持，採計理由對比MLCK收縮與MLCP鬆弛。但去磷酸化也參與latch與張力調節，D廣義「對收縮重要」有歧義；不把官方維持答案改寫成MLCP毫無調節作用。,"1131,1132","1180,1181",Codex /root,ISU-114-R2-Q33
ISU-114-Q34,FORMAL,False,B,B,同年度釋疑維持原答案B,29,29,4,1,12,questions/Q34.png,7090f667b023ce6fbcfd4a17a5d21e4fafe7ba83335625c26e351b52648eedc9,L3384,50.5 / Other Types of Muscle,L0724,11.3 / Small Molecules and Ions as Second Messengers,50.5 / Other Types of Muscle：氣道擴張由平滑肌收縮／舒張機制直接決定。,11.3 / Small Molecules and Ions as Second Messengers：β2→cAMP→PKA及Ca第二訊息解釋各選项的訊號方向,採B且維持。Ca-calmodulin活化MLCK促收縮；β致效劑與cAMP/PKA通常促鬆弛。選項把PKA與「使MLCK啟動」連成錯誤因果，不能據此否認PKA促舒張，且機制不只一個底物。,"223,224,1131,1132","272,273,1180,1181",Codex /root,ISU-114-R2-Q34
ISU-114-Q35,FORMAL,False,D,D,未列於本輪取得114生物釋疑PDF8下方至13；依同年度答案PDF1最下方生物表採計,29,29,4,1,,questions/Q35.png,51f2ea07c78d15f0b8905dc9fa4e6f6bb32f048e1b67aa9a38f0b4d50a09c7a4,L2711,41.3 / Digestion in the Stomach,L2717,41.3 / Absorption in the Small Intestine,41.3 / Digestion in the Stomach：問題首先辨識胃腺分泌細胞，主歸胃消化。,41.3 / Absorption in the Small Intestine：內在因子協助B12小腸吸收是分泌物作用終點,採D。胃壁細胞分泌內在因子而使B12得於迴腸吸收；Campbell支援壁細胞胃腺結構，內在因子細節由OpenStax核對。,"907,908,909,910","956,957,958,959",Codex /root,ISU-114-R2-Q35
ISU-114-Q36,FORMAL,False,A,A,未列於本輪取得114生物釋疑PDF8下方至13；依同年度答案PDF1最下方生物表採計,29,29,4,1,,questions/Q36.png,bbd1be677ba432b7884b2ec960da409b89b9206b99b81861d02d75486b513e5c,L3255,49.2 / Arousal and Sleep,,,49.2 / Arousal and Sleep：題問深睡眠delta腦波來源迴路，主歸醒覺與睡眠。,無另列最小次條目；Purves明示慢波視丘皮質同步及網狀核調節，支持A為題設最佳；不以B紡錘機制否定其參與全部睡眠節律。,採A。視丘皮質與皮質同步振盪支持慢波；網狀核也參與節律調節，B較偏紡錘波迴路，不能主張delta單由互相隔絕的一條迴路產生。,"1092,1093,1094","1141,1142,1143",Codex /root,ISU-114-R2-Q36
