題號,分類狀態,待審,原答案,採計答案,釋疑,本地原卷PDF頁,官方混科卷生物PDF頁,原卷印刷頁,答案PDF頁,官方答案PDF頁,釋疑PDF頁,官方第二次釋疑PDF頁,原圖,原圖SHA256,主條目ID,主分類,次條目ID,次分類,主分類理由,次分類理由,科學說明,課本印刷頁,課本PDF頁,覆核者,覆核紀錄
ISU-110-Q11,FORMAL,False,D,D,未列本輪取得8/17釋疑PDF5下方及6、8/19第二次會議官方組合PDF34下方及35；依同年答案採計，不宣稱沒有其他未取得公告,24,24,2,1,29,,,questions/Q11.png,539d26f1bca9db0d01059421fb66c9f31271d4beeb9ce6725781108783d99514,L3225,48.4 / Termination of Neurotransmitter Signaling,L3306,49.5 / Depression,48.4 / Termination of Neurotransmitter Signaling：Prozac抑制突觸前血清素再吸收，核心是神經傳遞訊息的終止與持續時間。,49.5 / Depression：憂鬱症條目提供SSRI治療情境，主分類仍按受問機制。,官方D。Fluoxetine為SSRI，阻礙血清素回收而延長其突觸作用；不等同增加每一神經元的血清素合成。FDA2011標示供機制查核，不作現行處方或治療建議。,"1079,1080,1102,1103","1128,1129,1151,1152",Codex /root,ISU-110-R2-Q11
ISU-110-Q12,FORMAL,False,D,D,未列本輪取得8/17釋疑PDF5下方及6、8/19第二次會議官方組合PDF34下方及35；依同年答案採計，不宣稱沒有其他未取得公告,24,24,2,1,29,,,questions/Q12.png,b6fdf6953bcb72832431d7318924c2d63ead26c28d9d1dd90b26063d50eb02e3,L3604,54.1 / Positive Interactions,"L2466,L2463",37.3 / Fungi and Plant Nutrition ; 37.3 / Bacteria and Plant Nutrition,54.1 / Positive Interactions：題目比較兩物種互利共生，應以群落的正向交互作用為主。,37.3 / Fungi and Plant Nutrition：菌根的真菌與根系交換提供松樹松露情境；37.3 / Bacteria and Plant Nutrition：根瘤細菌固氮與豆科供碳提供正確選項的另一互利例。,官方D。題設松露與松樹根的菌根，以及根瘤菌與大豆，都有雙方利益。以教材通則支持題設關係，不聲稱由題目已鑑定松露物種、所有真菌都互利，或豆科自行將N2固定。,"814,815,816,817,818,1220,1221","863,864,865,866,867,1269,1270",Codex /root,ISU-110-R2-Q12
ISU-110-Q13,FORMAL,False,A,A,未列本輪取得8/17釋疑PDF5下方及6、8/19第二次會議官方組合PDF34下方及35；依同年答案採計，不宣稱沒有其他未取得公告,24,24,2,1,29,,,questions/Q13.png,8f330a4ac5462df466e8b7753a11a50100eedb2ac83350e3ffcf2ad5bfb9370d,L2802,42.4 / Blood Composition and Function,L2870,43.1 / Innate Immunity of Vertebrates,42.4 / Blood Composition and Function：由白血球類型辨認可分化為巨噬細胞者，先按血液細胞組成與血球發生定位。,43.1 / Innate Immunity of Vertebrates：脊椎動物先天免疫說明巨噬細胞的吞噬功能。,官方A。單核球離開血液後可成為巨噬細胞，Alberts教材明載此路徑。這不是所有組織常駐巨噬細胞皆源於成人循環單核球的排他說法；Hashimoto等小鼠追蹤研究證明多種常駐巨噬細胞可局部維持。,"935,936,954,955","984,985,1003,1004",Codex /root,ISU-110-R2-Q13
ISU-110-Q14,FORMAL,False,C,C,未列本輪取得8/17釋疑PDF5下方及6、8/19第二次會議官方組合PDF34下方及35；依同年答案採計，不宣稱沒有其他未取得公告,24,24,2,1,29,,,questions/Q14.png,58f57ad36422b96c654a0b6e07fbbfca38974df4b59c7281dcb054ef9975cc63,L0394,6.7 / Cell Junctions,,,6.7 / Cell Junctions：緊密連接封閉相鄰上皮細胞間隙，屬細胞間連接的具體類型。,無另列最小次條目；119–120區分緊密連接與間隙連接，C僅對細胞間屏障；不把選擇性跨細胞運輸排除。,官方C。緊密連接限制物質沿細胞間通路洩漏，維持上皮屏障；並非把腸腔與身體的所有跨細胞吸收一律阻斷，也不同於橋粒的機械連結或間隙連接的溝通。,"119,120","168,169",Codex /root,ISU-110-R2-Q14
ISU-110-Q15,FORMAL,False,D,D,未列本輪取得8/17釋疑PDF5下方及6、8/19第二次會議官方組合PDF34下方及35；依同年答案採計，不宣稱沒有其他未取得公告,24,24,2,1,29,,,questions/Q15.png,713060b37c5452b836d2aa11c90996161c3f17fa52fa184db7bdfef2ced380bc,L3261,49.2 / Emotions,,,49.2 / Emotions：創傷後恐懼相關記憶喚起的杏仁核作用位於情緒條目。,無另列最小次條目；题問記憶位置，1095–1096杏仁核D較直接；已修正草稿火災為實際蛇咬並保存心臟開始跳動不精確措辭。,官方D。杏仁核參與情緒記憶與恐懼反應，符合蛇的線索引起反應的題意。原文「心臟立刻開始跳動」不是正常心臟先前停止的證據，科學上應理解為心跳加快等自主反應；不能僅由情境診斷特定疾病。,"1095,1096","1144,1145",Codex /root,ISU-110-R2-Q15
ISU-110-Q16,FORMAL,False,D,D,未列本輪取得8/17釋疑PDF5下方及6、8/19第二次會議官方組合PDF34下方及35；依同年答案採計，不宣稱沒有其他未取得公告,24,24,2,1,29,,,questions/Q16.png,83c7d5d48e6f53e8b8e47f3e066647826cd3394cb9389a4d79f69dd6e788c195,L0776,12.2 / Cytokinesis: A Closer Look,L0381,6.6 / Components of the Cytoskeleton,12.2 / Cytokinesis: A Closer Look：動物細胞分裂溝由肌動蛋白微絲與肌凝蛋白環收縮完成，受抑制時影響胞質分裂。,6.6 / Components of the Cytoskeleton：細胞骨架組成提供actin微絲與微管功能區別。,官方D。肌動蛋白參與分裂溝收縮，紡錘體及染色體移動主要涉及微管，非同一骨架系統。原題kinetochore應稱動粒，與著絲點DNA區域關聯但不是完全同義，原題用字保留。,"116,117,241,242","165,166,290,291",Codex /root,ISU-110-R2-Q16
ISU-110-Q17,FORMAL,False,D,D,8/17及8/19第二次會議兩版生物釋疑均維持原答案D,24,24,2,1,29,5,34,questions/Q17.png,93a8c0f4b2e62f18272ac8c08d0bbd1f8d34658a5590d65aee7a9bedc5ef6e08,L1129,18.2 / Mechanisms of Post-transcriptional Regulation,L1059,17.3 / Alteration of mRNA Ends,18.2 / Mechanisms of Post-transcriptional Regulation：mRNA穩定性屬轉錄後調控，379明示3′端非轉譯區序列影響壽命。,17.3 / Alteration of mRNA Ends：mRNA末端加工說明5′帽與poly-A尾也能保護mRNA，支持排除題中不精確選項。,官方D，兩版釋疑維持。3′UTR的特定序列可影響降解速度；官方引11版376，本地12版相關正文為378–379，頁碼不可直接照搬。5′帽存在與去帽亦影響穩定性，但選項A說帽「長度」，不能據此改答；多個因素可共同調控。,"345,377,378,379","394,426,427,428",Codex /root,ISU-110-R2-Q17
ISU-110-Q18,FORMAL,False,C,C,未列本輪取得8/17釋疑PDF5下方及6、8/19第二次會議官方組合PDF34下方及35；依同年答案採計，不宣稱沒有其他未取得公告,25,25,3,1,29,,,questions/Q18.png,af52f81224ca8a5c400158d3cfdf2c4058adac8663ed48397909a4269021c740,L2527,38.3 / Plant Biotechnology and Genetic Engineering,,,38.3 / Plant Biotechnology and Genetic Engineering：以外源基因導入植物取得轉殖性狀，最接近植物生物技術與基因工程條目。,無另列最小次條目；Bevan摘要明示邊界及vir促進核基因組轉移；C確認，Campbell植物工程作分類框架，細節不假稱來自該書。,官方C。Campbell837–839提供植物基因工程概念；Ti系統細節另用Bevan1984原始研究摘要，vir基因可促進邊界間T-DNA進入植物核基因組。整合的是轉移區段，不是整個細菌質體必然插入；原題「高活性質體」用語不當作技術標準名稱。,"837,838,839","886,887,888",Codex /root,ISU-110-R2-Q18
ISU-110-Q19,FORMAL,False,D,D,未列本輪取得8/17釋疑PDF5下方及6、8/19第二次會議官方組合PDF34下方及35；依同年答案採計，不宣稱沒有其他未取得公告,25,25,3,1,29,,,questions/Q19.png,b35b612effe7ee7a494dfaf02605d25aedeb6949dea3bb1620963fa7b2c8ae0e,L1327,21.4 / Transposable Elements and Related Sequences,,,21.4 / Transposable Elements and Related Sequences：經RNA中間物並反轉錄形成DNA的新拷貝，是反轉錄轉位子機制。,無另列最小次條目；451–452機制以RNA中間物指定D；轉位大類包含關係不能抹去本題具體受問類型。,官方D。retrotransposon以RNA為中間物；transposable element是上位廣稱，不能因涵蓋反轉錄轉位子便取代本題要求最具體機制的D。一般DNA轉位子不以這條RNA路徑定義。,"451,452","500,501",Codex /root,ISU-110-R2-Q19
ISU-110-Q20,FORMAL,False,B,B,未列本輪取得8/17釋疑PDF5下方及6、8/19第二次會議官方組合PDF34下方及35；依同年答案採計，不宣稱沒有其他未取得公告,25,25,3,1,29,,,questions/Q20.png,6f0cd431f64bbb56afb912c2b99fba82e9c6a3cf84d7643b332b3cfd3b468800,L1320,21.3 / Gene Density and Noncoding DNA,L1317,21.3 / Number of Genes,21.3 / Gene Density and Noncoding DNA：基因組體積與基因數量不成比例，關鍵在人類非編碼DNA比例與基因密度。,21.3 / Number of Genes：基因數量條目提供細菌與人類基因數的比較框架。,官方B。人類大量DNA不編碼蛋白質，包括調控區、內含子與重複序列等；不能把所有非編碼DNA等同無功能。題中1000倍與5倍是概略比較，取決物種及計算基準，不視為各版本固定精確比值。,"449,450,451","498,499,500",Codex /root,ISU-110-R2-Q20
ISU-110-Q21,FORMAL,False,B,B,未列本輪取得8/17釋疑PDF5下方及6、8/19第二次會議官方組合PDF34下方及35；依同年答案採計，不宣稱沒有其他未取得公告,25,25,3,1,29,,,questions/Q21.png,db89380319084b1b562e709d37f140a12a78c9413017a651f3a77d577202a0e7,L1488,24.1 / The Biological Species Concept,,,24.1 / The Biological Species Concept：不同鳴叫阻止交配屬於生物種概念下的合子前生殖隔離，圖508列行為隔離。,無另列最小次條目；508行為隔離發生受精前，B；依真實Biological Species Concept葉目，不虛構更細TOC條目。,官方B。依題設，求偶訊號不同使配偶無法辨認，受精前便降低交配；不必先有合子不活或雜種不育。不另造目錄不存在的Behavioral Isolation葉節點，也不由題設推斷野外完全無基因流。,"507,508,509","556,557,558",Codex /root,ISU-110-R2-Q21
ISU-110-Q22,FORMAL,False,B,B,未列本輪取得8/17釋疑PDF5下方及6、8/19第二次會議官方組合PDF34下方及35；依同年答案採計，不宣稱沒有其他未取得公告,25,25,3,1,29,,,questions/Q22.png,afd5e438a1e50153aa1d649371af1360c45efae3607e8831613ab1d029f7e5d4,L1649,26.2 / Sorting Homology from Analogy,L1646,26.2 / Morphological and Molecular Homologies,26.2 / Sorting Homology from Analogy：建構演化親緣時須排除由趨同造成的相似，考點是區分同源與同功。,26.2 / Morphological and Molecular Homologies：形態與分子同源性提供可支持共同祖先的對照證據。,官方B。同功構造可因相似選汰壓力獨立演化，所以單以功能相似判定近親最不可靠；同源特徵仍須考慮共享衍徵、祖徵與其他資料，不宣稱任何同源特徵都能單獨解析每個分支。,"558,559","607,608",Codex /root,ISU-110-R2-Q22
ISU-110-Q23,FORMAL,False,C,C,未列本輪取得8/17釋疑PDF5下方及6、8/19第二次會議官方組合PDF34下方及35；依同年答案採計，不宣稱沒有其他未取得公告,25,25,3,1,29,,,questions/Q23.png,576d80a32976c7eb90e9ee666063dca0a266526ccd2dacf8cce6ef70a6bbfed0,L2120,33.3 / Molluscs,L2760,42.1 / Open and Closed Circulatory Systems,33.3 / Molluscs：軟體動物中頭足類的循環系統特例在Molluscs正文702，目錄未另列Cephalopods葉目。,42.1 / Open and Closed Circulatory Systems：開放及封閉循環系統界定血液是否全程保留在血管內。,官方C。頭足類為本題軟體動物選項中的封閉循環例，其較活躍運動與有效循環相關；不把所有軟體動物或所有無脊椎動物都列為封閉循環。,"699,700,701,702,703,923","748,749,750,751,752,972",Codex /root,ISU-110-R2-Q23
ISU-110-Q24,FORMAL,False,D,D,未列本輪取得8/17釋疑PDF5下方及6、8/19第二次會議官方組合PDF34下方及35；依同年答案採計，不宣稱沒有其他未取得公告,25,25,3,1,29,,,questions/Q24.png,41fc2874c7bf59b42c5bc619edb27cc867d508b992d20891d14849da77ce4c5c,L2253,34.7 / Bipedalism,,,34.7 / Bipedalism：人族演化的重要形態轉變是習慣性雙足直立行走。,無另列最小次條目；750雙足行走D符合人族典型，其他猿亦無尾/可用工具；主Bipedalism且不杜撰絕對只人族能兩足。,官方D。教材750討論雙足行走早於大腦明顯增大；使用火、語言與某類工具不適合作為所有早期人族共同的最早特徵。此處指習慣性行走與骨骼適應，不是否認其他猿能短暫兩足移動。,"748,749,750","797,798,799",Codex /root,ISU-110-R2-Q24
ISU-110-Q25,FORMAL,False,D,D,未列本輪取得8/17釋疑PDF5下方及6、8/19第二次會議官方組合PDF34下方及35；依同年答案採計，不宣稱沒有其他未取得公告,25,25,3,1,29,,,questions/Q25.png,6662c4d89fc646fdb166672b86feb074c28f094c3343a0167921d86ed5c405ba,L2950,44.1 / Transport Epithelia in Osmoregulation,,,44.1 / Transport Epithelia in Osmoregulation：信天翁鹽腺的運輸上皮主動移出鹽，直接對應調節鹽水的上皮機制。,無另列最小次條目；982鹽腺運輸上皮直接支持D，C不適合海鳥；不是單純靠腎尿排出全部鹽。,官方D。鼻部鹽腺使鹽分濃縮排出，能減少為排鹽而流失的水；海鳥並不是體液與海水等滲的滲透順應者。原題的生活情境保留，不解成鹽腺可以創造水。,"979,981,982","1028,1030,1031",Codex /root,ISU-110-R2-Q25
ISU-110-Q26,FORMAL,False,B,B,8/17及8/19第二次會議兩版生物釋疑均維持原答案B,25,25,3,1,29,5,34,questions/Q26.png,d8bf7bac08ffc5af101bdec4f74453ba604c7038ae26d49e5d58e113d96fbd4c,L3144,47.2 / Gastrulation,,,47.2 / Gastrulation：原腸形成建立三胚層，表1051將消化道上皮列在內胚層衍生物。,無另列最小次條目；1051表與兩版官方釋疑將所指內襯解為上皮，B；肌肉結締組織另有來源，保留題文內壁語意界線。,官方B，兩版釋疑維持。受問的消化道內襯上皮主要出自內胚層，不能把整個腸壁平滑肌及結締組織也歸入內胚層。官方引11版1047，本地12版應查1051，不混用印刷與PDF頁碼。,"1049,1050,1051,1052","1098,1099,1100,1101",Codex /root,ISU-110-R2-Q26
ISU-110-Q27,FORMAL,False,A,A,未列本輪取得8/17釋疑PDF5下方及6、8/19第二次會議官方組合PDF34下方及35；依同年答案採計，不宣稱沒有其他未取得公告,25,25,3,1,29,,,questions/Q27.png,778bc4b239f52b24a55b12e25a23b40f105be0988978d4cabc8aca5d3505c069,L3144,47.2 / Gastrulation,,,47.2 / Gastrulation：滋養層啟動著床的敘述及圖47.12位於Gastrulation正文1052與1053左欄，按實際最小目錄歸檔。,無另列最小次條目；1052右欄與1053左圖直接載滋養層，主改Gastrulation；正文涵蓋早期流程不表示著床就是原腸運動。,官方A。囊胚外層滋養層促進植入子宮內膜，內細胞群主要形成胚體。著床在真正原腸運動之前；本書此條目用連續發育圖交代先行階段，分類位置不表示兩事件發生時間相同。,"1052,1053","1101,1102",Codex /root,ISU-110-R2-Q27
ISU-110-Q28,FORMAL,False,A,A,8/17及8/19第二次會議兩版生物釋疑均維持原答案A,26,26,4,1,29,6,35,questions/Q28.png,09b0cdcff5978c7c8bce01bbf0b53525dfa9f7f4fff8b9670349342d77d0378d,L3293,49.4 / Memory and Learning,,,49.4 / Memory and Learning：海馬迴對新持久記憶形成的作用由Memory and Learning1100–1101直接支持。,無另列最小次條目；1100–1101聚焦新持久記憶，A維持；官方較廣短期說法保留為範圍差異，不用寬敘述否定分類。,官方A，兩版釋疑維持。海馬迴損傷可造成形成新長期陳述記憶的障礙。官方「新短期與長期記憶無法產生」措辭較廣，不能推成所有短暫工作記憶或技能學習均消失；分類按題中記憶形成機制。,"1100,1101","1149,1150",Codex /root,ISU-110-R2-Q28
ISU-110-Q29,FORMAL,False,C,C,未列本輪取得8/17釋疑PDF5下方及6、8/19第二次會議官方組合PDF34下方及35；依同年答案採計，不宣稱沒有其他未取得公告,26,26,4,1,29,,,questions/Q29.png,e05d4e6c0211ac6dc7c780f089bc0da5139e20d0f1c1981761a5a0bd7f77cf9f,L3384,50.5 / Other Types of Muscle,L2776,42.2 / Maintaining the Heart’s Rhythmic Beat,50.5 / Other Types of Muscle：比較心肌動作電位較長的特性，Other Types of Muscle正文1131直接說明心肌與骨骼肌差異。,42.2 / Maintaining the Heart’s Rhythmic Beat：心臟節律條目補充心肌電訊號與搏動關係。,官方C，約200毫秒是四個選項中符合心室肌量級者。Campbell僅給較長的定性敘述，200–400ms範圍由Klabunde具名教材補足；時長隨心率、細胞及狀態改變，不能當全體心室細胞固定200ms。,"928,929,1131,1132","977,978,1180,1181",Codex /root,ISU-110-R2-Q29
ISU-110-Q30,FORMAL,False,A,A,未列本輪取得8/17釋疑PDF5下方及6、8/19第二次會議官方組合PDF34下方及35；依同年答案採計，不宣稱沒有其他未取得公告,26,26,4,1,29,,,questions/Q30.png,8ff2f1715ba56cf93a66d94b697913cf7df8bbde72a6e66d78ce5a67efd94a98,L3245,49.1 / The Peripheral Nervous System,L3231,48.4 / Neurotransmitters,49.1 / The Peripheral Nervous System：副交感迷走神經調節心率，核心是周邊自主神經系統。,48.4 / Neurotransmitters：ACh在不同受體上可興奮或抑制，心臟效應屬抑制性例。,官方A為不正確敘述。迷走神經ACh通常降低節律細胞放電與心率；透過G蛋白路徑可增加K通透及抑制腺苷酸環化酶。不能將骨骼肌菸鹼型ACh受體的興奮效應直接套到心臟毒蕈鹼型受體。,"928,929,1080,1081,1088,1089","977,978,1129,1130,1137,1138",Codex /root,ISU-110-R2-Q30
ISU-110-Q31,FORMAL,False,B,B,未列本輪取得8/17釋疑PDF5下方及6、8/19第二次會議官方組合PDF34下方及35；依同年答案採計，不宣稱沒有其他未取得公告,26,26,4,1,29,,,questions/Q31.png,6476e30b5daadb58703e159c157ec9842c1280d71e0fceddceae04b3cccd6cad,L2773,42.2 / The Mammalian Heart: A Closer Look,,,42.2 / The Mammalian Heart: A Closer Look：噴出率連結心室舒縮與每搏量，主條目是哺乳類心臟的循環週期。,無另列最小次條目；獨立計算(120−50)/120＝7/12＝58.33%，B；D是有體積單位的SV，非分率。,官方B。EF＝(EDV−ESV)/EDV；若以百分比呈現再乘100%。Klabunde教材明列EF＝SV/EDV，Campbell927支持SV與心室收縮。例EDV120、ESV50mL得70/120＝0.5833，即58.33%，分母不是ESV。,"926,927,928","975,976,977",Codex /root,ISU-110-R2-Q31
ISU-110-Q32,FORMAL,False,C,C,未列本輪取得8/17釋疑PDF5下方及6、8/19第二次會議官方組合PDF34下方及35；依同年答案採計，不宣稱沒有其他未取得公告,26,26,4,1,29,,,questions/Q32.png,f93fa73a715b9b4f46c0be8c27a3677742b530aab501d15dabe0a4f1da295f50,L3245,49.1 / The Peripheral Nervous System,,,49.1 / The Peripheral Nervous System：交感節後纖維對心臟的神經傳遞，屬周邊自主神經的輸出。,無另列最小次條目；1089交感到心臟的節後C，其他題列路徑典型ACh；scope鎖定心臟，不作所有節後絕對化。,官方C，心臟交感節後末梢主要釋出正腎上腺素。此為心臟題設，不能擴寫成所有交感節後神經絕無ACh等例外，也不混淆腎上腺髓質向血液分泌的荷爾蒙。,"1088,1089","1137,1138",Codex /root,ISU-110-R2-Q32
